,souseki_AI.txt,rashomon.txt,sorekara.txt,ginga_tetsudono_yoru.txt,kokoro.txt,kumono_ito.txt,serohikino_goshu.txt
あ,0,0,1,0,0,0,0
ああ,0,0,16,0,17,0,1
あい,0,0,0,3,0,0,2
あえて,0,0,0,0,3,0,0
あかく,0,1,0,0,0,0,0
あかるく,0,0,0,2,0,0,0
あがっ,0,0,0,3,0,0,0
あがら,0,0,0,1,0,0,0
あがり,0,0,0,5,0,0,0
あがる,0,0,0,2,0,0,0
あき,0,0,0,0,0,0,1
あきれ,0,0,0,0,1,0,0
あくまで,0,0,0,0,2,0,0
あくる,0,0,1,0,0,0,0
あけ,0,0,0,6,1,0,5
あけよう,0,0,0,0,0,0,1
あける,0,0,0,0,0,0,2
あげ,0,0,0,14,2,0,2
あげる,0,0,0,1,0,0,0
あさ,0,0,0,0,1,0,0
あそん,0,0,0,1,0,0,0
あたかも,0,0,6,0,7,0,0
あたじけなく,0,0,1,0,1,0,0
あたたかい,0,0,0,0,1,0,0
あたっ,0,0,0,1,3,0,0
あたり,0,0,0,1,0,0,0
あたる,0,0,1,3,1,0,0
あっ,3,2,459,12,349,2,1
あっさり,0,0,0,0,1,0,0
あつく,0,0,0,1,0,0,0
あつめ,0,1,0,1,1,0,0
あて,0,0,0,2,0,0,1
あてがっ,0,0,1,0,0,0,0
あながち,0,0,1,0,0,0,0
あの,7,0,30,15,16,0,2
あぶなく,0,0,0,1,0,0,0
あまり,1,0,26,0,14,0,0
あやしい,0,0,0,2,0,0,0
あら,0,0,4,0,0,0,0
あらかじめ,0,0,0,0,3,0,0
あらはさ,0,0,0,1,0,0,0
あらはし,0,0,0,1,0,0,0
あらはれ,0,0,0,1,0,0,0
あらはれる,0,0,0,1,0,0,0
あらゆる,0,1,14,2,1,0,0
あらわし,0,0,2,0,0,0,0
あらわれ,0,0,7,0,0,0,0
あり,2,1,79,27,231,1,9
ありあり,0,0,0,0,2,0,0
ありがたい,0,0,0,0,1,0,1
ありがたう,0,0,0,7,0,0,0
ありゃ,0,0,3,0,3,0,0
ある,5,46,636,32,265,10,11
あるいは,0,0,3,0,24,0,0
あるける,0,0,0,1,0,0,0
あるひは,0,0,0,2,0,0,0
あれ,0,1,7,0,5,0,1
あろ,0,3,0,0,0,0,0
あろう,0,3,6,0,3,0,0
あわて,0,0,0,1,0,0,5
あんな,0,0,7,4,5,0,2
あんまり,0,0,16,3,6,0,2
あゝ,0,0,0,10,0,0,0
い,13,41,752,7,878,2,48
いい,1,2,9,4,137,0,13
いい争う,0,0,1,0,0,0,0
いい切ら,0,0,0,0,1,0,0
いい切り,0,0,0,0,1,0,0
いい放ち,0,0,0,0,1,0,0
いい残し,0,0,0,0,1,0,0
いう,1,2,102,0,547,0,25
いえ,0,0,0,0,32,0,0
いえる,0,0,0,0,1,0,0
いおう,0,0,0,0,3,0,0
いか,0,0,0,0,3,0,0
いかな,0,0,0,0,2,0,0
いかに,0,0,1,1,11,0,1
いき,0,0,0,0,3,0,0
いきおい,0,0,0,0,1,0,0
いきなり,0,2,4,13,1,0,12
いく,7,0,0,2,0,0,0
いくら,0,0,13,1,16,2,1
いけ,0,0,0,9,24,0,1
いじめ,0,0,0,0,0,0,1
いずれ,0,0,4,0,0,0,0
いそがし,0,0,1,0,0,0,0
いそがしい,0,0,1,0,0,0,1
いたく,0,0,1,0,0,0,0
いたし,0,0,0,4,0,0,1
いただい,0,0,0,1,0,0,1
いただき,0,0,0,1,0,0,0
いただけ,0,0,0,0,0,0,1
いたって,0,0,1,0,0,0,0
いたましく,0,0,1,0,0,0,0
いたゞい,0,0,0,2,0,0,0
いちばん,0,0,0,5,0,0,1
いっ,2,0,3,4,304,0,6
いっそ,0,0,0,0,2,0,0
いっそう,0,0,0,0,1,0,0
いったい,0,0,0,3,0,0,1
いっぱい,0,0,0,1,3,0,0
いてる,0,0,1,0,0,0,0
いで,0,0,0,3,0,0,2
いふ,0,0,0,44,0,0,0
いまだ,0,1,1,0,4,0,0
いや,0,0,0,0,1,0,0
いよいよ,0,0,0,2,10,0,1
いよう,0,0,3,0,1,0,0
いら,0,0,2,0,0,0,0
いらし,0,0,2,0,1,0,0
いらっしゃい,0,0,7,1,2,2,0
いらっしゃっ,0,0,0,1,1,0,0
